Name,Rating,Method,Style,Flavor,Fermentation,Country,Split
Altenmunster Hopfig Herb 4.9,9,industrial,lager,herb,bottom,Germany,test
Arrogant Nepasteurizata India Pale Ale 6.0,3,craft,ale,standard,top,Romania,test
Beck'S 1873 Pils Traditionell Frisch 6.0,8,industrial,pils,standard,bottom,Germany,test
Beck'S Green Lemon 0.0,8,industrial,pils,lemon,bottom,Germany,test
Benediktiner Hell 5.0,8,industrial,blonde,standard,top,Germany,test
Bereta Brewing Community Happy Lager 5.1,7,craft,lager,standard,bottom,Romania,test
Bergenbier Ale 5.5,8,industrial,ale,standard,top,Romania,test
Bitburger Grapefruit 0.0,9,industrial,pils,fruit,bottom,Germany,test
Citrilla Weizen India Pale Ale 6.0,7,craft,ale,standard,top,Germany,test
Clausthaler Unfiltered 0.0,7,industrial,pils,standard,bottom,Germany,test
Crabbies Ginger Beer Traditional Cloudy Reduced Sugar Recipe 0.0,10,industrial,soda,herb,top,UK,test
Deranj Oranj Wheat Ale Nepasteurizata 5.0,4,craft,ale,standard,top,Romania,test
Diebels 0.0,1,industrial,alt,standard,top,Germany,test
Erdinger 0.0,7,industrial,wheat,standard,top,Germany,test
Falkenfelser Premium Winterbier 5.6,8,industrial,lager,standard,bottom,Germany,test
Falkenfelster Weissbier 5.2,7,industrial,wheat,standard,top,Germany,test
Frankenheim Der Feine Unterschied 4.8,7,industrial,alt,standard,top,Germany,test
Franziskaner Premium Weissbier Dunkel 5.0,8,industrial,dark,standard,bottom,Germany,test
Franziskaner Weissbier Zitrone 0.0,7,industrial,wheat,lemon,top,Germany,test
Fruh Sport Fassbrause Zitrone 0.0,8,industrial,soda,lemon,top,Germany,test
Gauloise Christmas Bocq 8.1,9,craft,lager,standard,bottom,Belgium,test
Grimbergen Blonde 6.7,7,industrial,blonde,standard,top,Germany,test
Hansa Pils 4.8,6,industrial,pils,standard,bottom,Germany,test
Haramin Belgian India Pale Ale 5.5,8,craft,ale,standard,top,Belgium,test
Hora Unirii 5.0,8,craft,lager,standard,bottom,Romania,test
Indigen Blonda Nepasteurizata 4.5,7,craft,blonde,standard,top,Romania,test
Jever Fun Friesisch Herb 0.0,5,industrial,pils,herb,bottom,Germany,test
Kilkenny Irish Red Ale 4.2,9,industrial,ale,standard,top,Ireland,test
Kozel Dark 3.8,6,industrial,dark,standard,bottom,Czechia,test
Kozel Premium Lager 4.6,7,industrial,lager,standard,bottom,Czechia,test
Krombacher Naturtrubes Landbier 5.2,9,industrial,pils,standard,bottom,Germany,test
Krombacher Pils Brauerreger Nr. 2 4.8,8,industrial,pils,standard,bottom,Germany,test
Krombacher Radler 2.5,7,industrial,pils,lemon,bottom,Germany,test
Krombacher'S Fassbrause Cola & Orange 0.0,8,industrial,soda,fruit,top,Germany,test
Kulmbacher Kapuziner Hefe Weissbier Naturtrub 5.4,8,industrial,wheat,standard,top,Germany,test
Kurpfalz Brau Kellerbier 4.8,6,industrial,keller,standard,bottom,Germany,test
Landfurst Premium Alt 4.8,6,industrial,alt,standard,top,Germany,test
Lomza Pilsener 5.7,-1,industrial,pils,standard,bottom,Poland,test
Lowenbrau Original 5.2,5,industrial,lager,standard,bottom,Germany,test
Monchshof Natur Radler 2.5,8,industrial,keller,lemon,bottom,Germany,test
Natu Hell Natur Uber Alles 4.5,10,craft,blonde,standard,top,Germany,test
Nemteana Aramie Nefiltrata 6.4,8,craft,ale,standard,top,Romania,test
N'Ice Chouffe Belgian Winterbeer 10.0,9,craft,dark,standard,bottom,Belgium,test
Oettinger Alt 4.9,7,industrial,alt,standard,top,Germany,test
Oettinger Export 5.4,7,industrial,lager,standard,bottom,Germany,test
Oettinger Hefeweissbier Naturtrub 4.9,6,industrial,wheat,standard,top,Germany,test
Oettinger Leicht 2.8,7,industrial,lager,standard,bottom,Germany,test
Oettinger Weizen Grapefruit 2.5,6,industrial,wheat,fruit,top,Germany,test
One Beer Later American Amber Ale Nefiltrata Nepasteurizata 5.0,6,craft,ale,standard,top,Romania,test
Oppler Pilsner Red Label 4.1,9,industrial,pils,standard,bottom,Czechia,test
"Original 5,0 5.0",4,industrial,pils,standard,bottom,Germany,test
Paulaner Hefe-Weissbier Dunkel 5.3,7,industrial,dark,standard,bottom,Germany,test
Perlenbacher Extra Herbes 2.5,7,industrial,lager,herb,bottom,Germany,test
Pilsner Urquell Original Pilsner Bier 4.4,4,industrial,pils,standard,bottom,Czechia,test
Prost! Pils 5.0,6.5,industrial,pils,standard,bottom,Germany,test
Sapte Coline Marzen Nefiltrata 5.75,4,craft,lager,standard,bottom,Romania,test
Schofferhofer Granatapfel Guarana 2.5,7,industrial,wheat,fruit,top,Germany,test
Schofferhofer Hefeweizen Naturtrub 5.0,7.5,industrial,wheat,standard,top,Germany,test
Schofferhofer Zitrone Weizen-Mix 2.5,9,industrial,wheat,lemon,top,Germany,test
Sester Kolsch 4.8,5,industrial,blonde,standard,top,Germany,test
Silva Lager Negru Premium 7.0,6,craft,lager,standard,bottom,Romania,test
Steam Brew Session India Pale Ale 4.9,6,craft,ale,standard,top,Germany,test
Stephans Brau Premium Export 5.2,7,industrial,pils,standard,bottom,Germany,test
Stephans Brau Premium Pils 4.9,7,industrial,pils,standard,bottom,Germany,test
Stolichno Bock 6.5,9.5,industrial,lager,standard,bottom,Bulgaria,test
Stortebeker Atlantik-Ale 5.1,5,industrial,ale,standard,top,Germany,test
Stortebeker Hanse-Porter 4.0,8,industrial,pils,standard,bottom,Germany,test
Tem'S Root Beer 0.0,9,industrial,soda,standard,top,Germany,test
Three Happy Brewers Balkan Breakfast Coffee Oatmeal Stout 7.0,8.5,craft,dark,standard,bottom,Romania,test
Timisoreana Nepasteurizata 5.0,8,industrial,lager,standard,bottom,Romania,test
Turmbrau Original Premium Pils 4.9,5,industrial,pils,standard,bottom,Germany,test
Veltins Curuba Tequila 5.0,3,industrial,mix,standard,bottom,Germany,test
Veltins Fassbrause Apfel-Krauter 0.0,6,industrial,soda,fruit,top,Germany,test
Veltins Grapefruit Zitrone 2.0,7,industrial,pils,lemon,bottom,Germany,test
Veltins Lemon Grapefruit 2.7,8,industrial,pils,lemon,bottom,Germany,test
Veltins Radler 0.0,8,industrial,pils,lemon,bottom,Germany,test
Warsteiner 4.8,6.5,industrial,pils,standard,bottom,Germany,test
Warsteiner Weihnacht 5.6,6,industrial,pils,standard,bottom,Germany,test
Zaganu Blonda Nepasteurizata 5.3,8,craft,blonde,standard,top,Romania,test
Zagorka 4.5,6,industrial,lager,standard,bottom,Bulgaria,test
Zywiec 5.6,8,industrial,lager,standard,bottom,Poland,test
